date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:11	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1729609338-ssl-df	https://generador-crm-hma-kdj-github.netlify.app/robots.txt		(from )
10:09:11	23188/23188	---MCZ	200	added ('OK')	text/html	etag:%22bfb87c06a82598e79b46b3940899246b-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/index.html	(from )
10:09:11	220780/220780	---M-Z	200	added ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:12	99556/99556	---M-Z	200	added ('OK')	text/css	etag:W/%22184e4-ptHboTbR5gcHjbMAMHDqs0tR7FA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:12	20095/20095	---M-Z	200	added ('OK')	application/javascript	etag:W/%224e7f-YDO5/9GsCmSrp3VxzVXmgduuK5k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.6/dist/umd/popper.min.js	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/@popperjs/core@2.11.6/dist/umd/popper.min.js	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:12	60554/60554	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ec8a-z/PmJCRGsgLcOzQ/ORPiUuHO4kQ%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.min.js	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.min.js	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:12	9034/9034	---M-Z	200	added ('OK')	application/javascript	etag:W/%22234a-ZnT4HdAcdr6YbPCoFy0Qc+VtfvQ%22	https://cdn.jsdelivr.net/npm/clipboard@2.0.10/dist/clipboard.min.js	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/clipboard@2.0.10/dist/clipboard.min.js	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:13	1549/1549	---M-Z	200	added ('OK')	text/css	etag:%226b5795abaea53eed61b6f5ea666008c8-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/estilos/styles.css	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/estilos/styles.css	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:13	11777/11777	---MCZ	200	added ('OK')	text/html	etag:%22a85050dfedfec1f5027e9fcd6cb7245c-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/menu/menu.html	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:14	1535/1535	---M-Z	200	added ('OK')	text/html	etag:%22d1571e3012c78b5763c88e49c9400e03-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/footer/footer.html	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/footer/footer.html	(from https://generador-crm-hma-kdj-github.netlify.app/)
10:09:14	134044/134044	---M--	200	added ('OK')	font/woff2	etag:W/%2220b9c-tEH8/5OeJPoJBqN7d4h4i5/du2g%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-icons04d5.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css)
10:09:14	180288/180288	---M--	200	added ('OK')	font/woff	etag:W/%222c040-diAQx5tKBeETH8j7Oxrv8yTYAz8%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-icons.woff?e34853135f9e39acf64315236852cd5a	C:/Mis%20lugares%20Web/generador-crm/cdn.jsdelivr.net/npm/bootstrap-icons/font/fonts/bootstrap-icons04d5.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css)
10:09:15	23708/23708	---MCZ	200	added ('OK')	text/html	etag:%223877b69436718f73c376312b38eca12b-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/negra	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/negra.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:15	22947/22947	---MCZ	200	added ('OK')	text/html	etag:%22507eb0ed96e6f1224a9db8aa304f2471-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/galva	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/galva.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:16	21330/21330	---MCZ	200	added ('OK')	text/html	etag:%22466bed6006c4cb924e2bb0eb412fb874-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/lf	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/lf.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:16	32433/32433	---MCZ	200	added ('OK')	text/html	etag:%22e2c4e7358a77693ca3ee8c8da22f8b9e-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/decap	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/decap.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:17	12327/12327	---MCZ	200	added ('OK')	text/html	etag:%22c5ce2a0122ab16db322075df5ea3cbd8-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/perf_red	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/perf_red.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:17	17011/17011	---MCZ	200	added ('OK')	text/html	etag:%223fcfa2ef9c40ba24b29d75d4904dcb3c-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/perf_cuad	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/perf_cuad.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:17	98/98	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jun%202025%2008:09:17%20GMT	https://generador-crm-hma-kdj-github.netlify.app/chapas/pelda%c3%b1os_repujados.html	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/pelda%c3%b1os_repujados.10.delayed	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:18	7643/7643	---MCZ	200	added ('OK')	text/html	etag:%2235457efa474b4878e088b8931f1e83a1-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/pelda%C3%B1os_repujados	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/pelda%c3%b1os_repujados.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:18	6462/6462	---MCZ	200	added ('OK')	text/html	etag:%222b013d38c4a55fb6a1ce5a82b5517b1b-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/colabor	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/colabor.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:19	18257/18257	---MCZ	200	added ('OK')	text/html	etag:%2230fe48c9be17f02925db3f0e077eabf9-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/corten	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/corten.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:19	14290/14290	---MCZ	200	added ('OK')	text/html	etag:%22fc1a09a0009f791fe4101ff6d52e96e4-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/estriada	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/estriada.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:20	9437/9437	---MCZ	200	added ('OK')	text/html	etag:%221a02cf8e0ccc979a7e38f164001c5d50-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/lagrimada	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/lagrimada.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:20	10111/10111	---MCZ	200	added ('OK')	text/html	etag:%22b161ae768dfd5ebdbae16b4c18c34275-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/estamp	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/estamp.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:21	27006/27006	---MCZ	200	added ('OK')	text/html	etag:%226f1e054b4f359e1058ab6c8b0d58cb88-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/ond	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/ond.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:21	8014/8014	---MCZ	200	added ('OK')	text/html	etag:%224ec937bb02297089dfcba55516b40d30-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/trapez	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/trapez.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:22	11660/11660	---MCZ	200	added ('OK')	text/html	etag:%2288c659c9b5bc5839770b062d330adb7a-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/pegaso	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/pegaso.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:22	5911/5911	---MCZ	200	added ('OK')	text/html	etag:%227d323924342879e521a55aead37c85d6-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/chapas/lisa	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/chapas/lisa.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:23	12555/12555	---MCZ	200	added ('OK')	text/html	etag:%22e23c7e594461f4755762571f87f31d6c-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/tubos/tubos_6_teclado	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/tubos/tubos_6_teclado.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:23	12543/12543	---MCZ	200	added ('OK')	text/html	etag:%22ea2bbee6d1e9c7800b10b09df16da466-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/tubos/tubo_12_teclado	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/tubos/tubo_12_teclado.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:23	56314/56314	---MCZ	200	added ('OK')	text/html	etag:%2263a3aaa65fa2e5530edfa543656d560d-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/tubos/tubos_6_raton	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/tubos/tubos_6_raton.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:24	56122/56122	---MCZ	200	added ('OK')	text/html	etag:%22c8a56376194daaf73d6fb94880e35d1a-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/tubos/tubos_12_raton	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/tubos/tubos_12_raton.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
10:09:24	16328/16328	---MCZ	200	added ('OK')	text/html	etag:%2233ccd973010e132eb055251d49e535d0-ssl-df%22	https://generador-crm-hma-kdj-github.netlify.app/tubos_iso/estandar	C:/Mis%20lugares%20Web/generador-crm/generador-crm-hma-kdj-github.netlify.app/tubos_iso/estandar.html	(from https://generador-crm-hma-kdj-github.netlify.app/menu/menu.html)
